city_id,city,latitude,longitude,avg_weather_score,temp_avg,pop,rain,humidity,wind_speed,clouds,weather_detail,is_top5
1,Aix en Provence,43.5298424,5.4474738,76.33,13.0,0.0,0.0,70.423611,1.533194,59.155556,complet,True
2,Marseille,43.2961743,5.3699525,76.17,15.1,3.3,0.15,67.215278,2.989028,60.756944,complet,True
3,Bormes les Mimosas,43.1506968,6.3419285,76.0,13.0,0.0,0.0,75.313889,2.271736,50.025,complet,True
4,Cassis,43.2140359,5.5396318,73.67,14.3,7.2,0.34,67.840278,2.722472,57.023611,complet,True
5,Avignon,43.9492493,4.8059012,71.83,12.9,0.0,0.0,72.815278,2.942667,52.477778,complet,True
6,Nimes,43.8374249,4.3600687,71.17,,,,,,,score_seul,False
7,Aigues Mortes,43.5661521,4.19154,70.17,,,,,,,score_seul,False
8,Saintes Maries de la mer,43.4515922,4.4277202,70.0,,,,,,,score_seul,False
9,Collioure,42.52505,3.0831554,68.0,,,,,,,score_seul,False
10,Uzes,44.0121279,4.4196718,65.67,,,,,,,score_seul,False
11,Lyon,45.7578137,4.8320114,63.5,,,,,,,score_seul,False
12,Grenoble,45.1875602,5.7357819,63.17,,,,,,,score_seul,False
13,Gorges du Verdon,43.7496562,6.3285616,63.0,,,,,,,score_seul,False
14,Annecy,45.8992348,6.1288847,62.83,,,,,,,score_seul,False
15,Toulouse,43.6044638,1.4442433,58.17,,,,,,,score_seul,False
16,Bayonne,43.4945144,-1.4736657,58.0,,,,,,,score_seul,False
17,Paris,48.8534951,2.3483915,57.83,,,,,,,score_seul,False
18,Strasbourg,48.584614,7.7507127,57.33,,,,,,,score_seul,False
19,Carcassonne,43.2130358,2.3491069,56.83,,,,,,,score_seul,False
20,Lille,50.6365654,3.0635282,56.83,,,,,,,score_seul,False
21,Biarritz,43.4832523,-1.5592776,56.67,,,,,,,score_seul,False
22,Montauban,44.0175835,1.3549991,54.33,,,,,,,score_seul,False
23,Colmar,48.0777517,7.3579641,53.67,,,,,,,score_seul,False
24,Eguisheim,48.0447968,7.3079618,53.17,,,,,,,score_seul,False
25,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,52.83,,,,,,,score_seul,False
26,Besancon,47.2380222,6.0243622,52.5,,,,,,,score_seul,False
27,Dijon,47.3215806,5.0414701,50.83,,,,,,,score_seul,False
28,Rouen,49.4404591,1.0939658,50.67,,,,,,,score_seul,False
29,La Rochelle,46.159732,-1.1515951,48.83,,,,,,,score_seul,False
30,St Malo,48.649518,-2.0260409,48.5,,,,,,,score_seul,False
31,Ariege,42.9455368,1.4065544,45.5,,,,,,,score_seul,False
32,Amiens,49.8941708,2.2956951,44.5,,,,,,,score_seul,False
33,Le Havre,49.4938975,0.1079732,44.33,,,,,,,score_seul,False
34,Bayeux,49.2764624,-0.7024738,38.33,,,,,,,score_seul,False
35,Mont Saint Michel,48.6359541,-1.51146,37.5,,,,,,,score_seul,False
