hotel_id,city,hotel_name,url,latitude,longitude,score,number_of_reviews,description,property_type,price,currency,facilities,image_url
Aix en Provence_1,Aix en Provence,Aparthotel Adagio Aix-en-Provence Centre,https://www.booking.com/hotel/fr/pierre-vacances-city-centre.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,,5.440869033336639,8.5,1916,"Ideally located on a peaceful street in the center of Aix-en-Provence, this residence is a 10-minute walk from the cafés and fountains on Cours Mirabeau. Gare d’Aix-en-Provence is 2953 feet away. Free WiFi is available in all areas.

Apartments and studios at Aparthotel Adagio Aix en Provence Center are contemporary in style and offer an LCD TV. All have a kitchen with hotplates and some have a separate bedroom.

Breakfast and drinks and snacks vending machines are some of the other facilities o",APARTHOTEL,221,USD,"Non-smoking rooms, Facilities for disabled guests, Free Wifi, Private Parking, Family rooms",https://cf.bstatic.com/xdata/images/hotel/square60/700052649.jpg?k=826f47de3b1d05ca5d219620f2672d077b218b60bab64d02fa67ca4fd29fceb5&o=
Aix en Provence_2,Aix en Provence,Best Western Hotel le Galice Aix-en-Provence,https://www.booking.com/hotel/fr/best-western-le-galice.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=&chal_t=1762886088164&force_referer=,,5.434359312057495,8.0,2637,"Located a 10-minute walk from the center of Aix-en-Provence, Best Western Le Galice Center Ville features a seasonal outdoor pool and a terrace. Free WiFi is available throughout the property.

The air-conditioned rooms are equipped with a flat-screen satellite TV, a desk, a kettle and a mini-bar. The private bathrooms have a bath or shower and a hairdryer.

The hotel has business facilities, including fully equipped meeting rooms open 24 hours a day, 7 days a week. There is also a 24-hour recep",HOTEL,233,USD,"Outdoor swimming pool, Non-smoking rooms, Facilities for disabled guests, Restaurant, Free Wifi",https://cf.bstatic.com/xdata/images/hotel/max200/167333322.jpg?k=b94eabcce4dd61fd2eb96722f7bc318b4b91749f2ac13ebf09ad38a7c51413a8&o=
Aix en Provence_3,Aix en Provence,B&B HOTEL Aix-en-Provence Pont de l'Arc,https://www.booking.com/hotel/fr/b-amp-b-aix-en-provence-pont-de-l-39-arc.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=&chal_t=1762886081839&force_referer=,,5.4446805,7.5,2164,"Offering free WiFi, B&B HÃ´tel Aix-en-Provence Pont de l'Arc is located in Aix-en-Provence. This 2-star hotel has air-conditioned rooms with a private bathroom. Cours Mirabeau is 1.4 mi from the hotel.

Accessed via a staircase, all guest rooms in the hotel are equipped with a flat-screen TV.

A buffet breakfast is served every morning at the property. A shared microwave is available to guests as well as a vending machine for drinks and snacks.

Saint-Sauveur Cathedral is 1.7 mi from B&B HÃ´tel ",HOTEL,128,USD,"Non-smoking rooms, Free Wifi, Free parking, Family rooms, Good Breakfast",https://cf.bstatic.com/xdata/images/hotel/max200/156383418.jpg?k=ac4e250369024d0138bfaa67dd94a5745b6363ed8174a10704600c336c0ff443&o=
Aix en Provence_4,Aix en Provence,Villa Saint-Ange,https://www.booking.com/hotel/fr/villa-saint-ange.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,,5.457699,9.3,370,"Set 2625 ft from Cours Mirabeau in Aix-en-Provence, Villa Saint-Ange hotel features a heated outdoor swimming pool, a Provencal garden, and a French restaurant and bar with a terrace. This property is 1.4 mi from Saint-Sauveur Cathedral.

Rooms are spread across five 18th-century bastide-style cottages, decorated in the style of an Aix-en-Provence town house. All rooms include air conditioning, a flat-screen TV with international channels, a safety deposit box, and a mini-bar. The private bathro",HOTEL,752,USD,"Outdoor swimming pool (temporarily closed), Non-smoking rooms, Spa, Airport shuttle, Fitness center",https://cf.bstatic.com/xdata/images/hotel/max200/579625086.jpg?k=86c519b590369cc34dc4a14257d91dbf1f4d28c883a9c711d3b5e9d4657fa241&o=
Aix en Provence_5,Aix en Provence,Le Concorde,https://www.booking.com/hotel/fr/le-concorde-sarl-aix-en-provence.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,,5.453754365444183,8.0,2267,"Le Concorde is ideally located in the center of Aix-en-Provence, only a 5-minute walk from the famous Cour Mirabeau and near the Granet Museum. It offers a flowered garden.

The guest rooms all feature a TV, air-conditioning and Wi-Fi access.

You can start the day with a generous breakfast in the breakfast room or in the courtyard.

For guests arriving by car, the hotel has a large private garage in the basement available for an additional charge, allowing you to explore the city without any pa",HOTEL,260,USD,"Non-smoking rooms, Facilities for disabled guests, Free Wifi, Private Parking, Family rooms",https://cf.bstatic.com/xdata/images/hotel/square60/231223040.jpg?k=9d63f2480250e7e57c72ae9067819ef22508c716292033053cf487e33a4b660b&o=
Aix en Provence_6,Aix en Provence,Les Suites du Cours & Spa,https://www.booking.com/hotel/fr/les-suites-du-cours.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,,5.44928753701095,9.2,377,"Set in Aix-en-Provence in Cours Mirabeau, Les Suites du Cours & Spa features a spa center. Saint-Sauveur Cathedral is 1969 feet away. Free WiFi is featured throughout the property.

All units feature air conditioning and a flat-screen TV. There is a seating and/or dining area in some units. There is also a kitchen complete with a dishwasher and oven. A toaster, a fridge and stovetop are also offered, as well as a coffee machine and a kettle. Each unit is fitted with a private bathroom with a bat",APARTMENT,398,USD,"Non-smoking rooms, Spa, Free Wifi, Parking, Family rooms",https://cf.bstatic.com/xdata/images/hotel/square60/90257494.jpg?k=77625e8930fca555d787d4f39aff3b2cd3782f5bda3d8810e2c552f1cd76a5ac&o=
Aix en Provence_7,Aix en Provence,Hotel Cardinal,https://www.booking.com/hotel/fr/cardinal.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=&chal_t=1762886394488&force_referer=,,5.45172079999998,8.6,1481,"Located in Aix-en-Provence, 19 miles from Joliette Metro Station, Hotel Cardinal features views of the city. The 2-star hotel has air-conditioned rooms with a private bathroom and free WiFi. The property is 400 yards from the city center and 19 miles from Marseille Saint-Charles Train Station.

At the hotel, the rooms include a desk. Selected rooms also feature a kitchenette with a fridge, a microwave and a stovetop. All rooms in Hotel Cardinal are equipped with a flat-screen TV and free toiletr",HOTEL,313,USD,"Non-smoking rooms, Free Wifi, Good Breakfast, Non-smoking rooms, Free Wifi",https://cf.bstatic.com/xdata/images/hotel/square60/120237817.jpg?k=600b321407d200cd7767983acab5e07284cea064c7ac5fc8953353975e21d1b1&o=
Aix en Provence_8,Aix en Provence,Campanile Prime - Aix-en-Provence Sud - Pont de l'Arc,https://www.booking.com/hotel/fr/campanile-aix-en-provence-sud.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,,5.436653941869736,7.8,3003,"Located in Aix-en-Provence, 1.9 mi from the historical center and Cours Mirabeau, Campanile Aix-en-Provence Sud - Pont de l'Arc offers air-conditioned rooms with free WiFi.

Each of the guest rooms is equipped with a flat-screen TV. Tea and coffee making facilities are available in each room.

A buffet breakfast is served each morning at the hotel. The hotel's restaurant serves contemporary French cuisine that can be enjoyed on the terrace during the summer months. Campanile Aix-en-Provence also",HOTEL,155,USD,"Non-smoking rooms, Facilities for disabled guests, Restaurant, Free Wifi, Free parking",https://cf.bstatic.com/xdata/images/hotel/square60/751834363.jpg?k=dbc2dc9a3a5c2d72596c6305612bf31d34b7ac4a62615afd1b320b8983eb8ae9&o=
Aix en Provence_9,Aix en Provence,Domaine de Saint Clair,https://www.booking.com/hotel/fr/domaine-de-saint-clair.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,,5.43205648570552,9.6,187,"Domaine de Saint Clair is an adults-only Bed&Breakfast located just 2.1 mi (10 minutes) from the historic center of Aix-en-Provence.

The guest rooms at Domaine de Saint Clair are located in a Provençal house, independent of the mansion. The Domaine de Saint Clair offers only 3 spacious suites to guarantee peace and privacy, in a privileged setting. The suites of 30 m2 each are recently restored and warmly decorated.

The house is fully air-conditioned and has free Wi-Fi internet access.

All su",BED_AND_BREAKFAST,561,USD,"Outdoor swimming pool, Non-smoking rooms, Free Wifi, Free parking, Terrace",https://cf.bstatic.com/xdata/images/hotel/max200/114058092.jpg?k=e92a1d420266772e87288bb038651fd9ec0b4ec93449d390267bc980c4687c0e&o=
Aix en Provence_10,Aix en Provence,Adonis Arc Hotel Aix,https://www.booking.com/hotel/fr/arc-aix-hotel.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,,5.470212399959564,7.6,1414,"Set in the heart of the Provence region, Adonis Arc Hotel Aix is fully air-conditioned and is located a 5-minute drive from Aix-en-Provence city center. It features a seasonal outdoor pool and a terrace. Free WiFi is provided throughout.

All of the rooms have a private bathroom equipped with a bathtub. They feature a desk, flat-screen TV and telephone.

Adonis Arc Hotel Aix provides daily buffet breakfast. There is a bar and you can enjoy a drink by the pool. Deckchairs are also at your disposa",HOTEL,160,USD,"Outdoor swimming pool (temporarily closed), Non-smoking rooms, Facilities for disabled guests, Free Wifi, Private Parking",https://cf.bstatic.com/xdata/images/hotel/max200/762653131.jpg?k=86ed6a9258f63dd90cee085e9d72708ee34d2324c1a43fbba0ec0596c968486a&o=
