hotel_id,city,hotel_name,url,latitude,longitude,score,number_of_reviews,description,property_type,price,currency,facilities,image_url
Avignon_1,Avignon,Centre Palais des Papes B2 Clim - 123Avignon,https://www.booking.com/hotel/fr/centre-palais-des-papes-clim-123avignon.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=&chal_t=1762886040616&force_referer=,,4.808402317791,9.1,50,"Centre Palais des Papes B2 Clim - 123Avignon in Avignon features accommodations with free Wifi, a 11-minute walk from Avignon Central Station, 3.2 miles from Avignon TGV Train Station, and 7 miles from Parc des Expositions Avignon. The property is around 25 miles from Arles Amphitheatre, 30 miles from Parc Expo Nîmes, and a 6-minute walk from Pont d'Avignon. The property is a 5-minute walk from Papal Palace and within 200 yards of the city center.

The apartment is composed of 2 separate bedroom",APARTMENT,169,USD,"Non-smoking rooms, Free Wifi, Non-smoking rooms, Free Wifi",https://cf.bstatic.com/xdata/images/hotel/square60/537289221.jpg?k=f527591b08f9247cb315d40b419d1a16a3a4345d0b6c1a00a8c153193c8e0f0c&o=
Avignon_2,Avignon,ibis Avignon Centre Gare,https://www.booking.com/hotel/fr/ibis-avignon-centre-gare.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,,4.807274341733546,7.6,1114,"In the heart of Avignon, Ibis Avignon Center Gare is just 164 feet from the Avignon Train Station. It offers a 24-hour front desk, a bar, free WiFi and newspapers. Parking is available at the paid public parking area of the train station, located at the foot of the hotel.

The air-conditioned hotels rooms have a flat-screen TV with cable channels and a wardrobe. They all offer an private bathroom with a shower. Ironing facilities are also available.

A buffet breakfast composed of sweet and savo",HOTEL,133,USD,"Non-smoking rooms, Facilities for disabled guests, Room service, Free Wifi, Parking",https://cf.bstatic.com/xdata/images/hotel/max200/756924678.jpg?k=e4ddf371ecf9d475730dad78a5f80e40b9bd47e55139080c21a826ab667743be&o=
Avignon_3,Avignon,Régina Boutique Hotel,https://www.booking.com/hotel/fr/hotelreginaavignon.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,,4.805764853954315,7.6,2321,"Régina is a hotel located on the main street in Avignon and just a 5-minute walk from the Palais des Papes.

The rooms are decorated in warm tones and also come with a flat-screen TV with satellite channels including Canal+, and a telephone. Free WiFi access is available and some rooms have a balcony. The private bathroom features a bath or shower.

A buffet breakfast is available every morning in the dining room.

Guests can also buy local produce on site, including jams, olive oil and biscuits",HOTEL,152,USD,"Non-smoking rooms, Free Wifi, Parking, Tea/Coffee Maker in All Rooms, Good Breakfast",https://cf.bstatic.com/xdata/images/hotel/max200/109792086.jpg?k=4e8d959e13521f5e8c21dcec8b159ce490cd4092d681b403b350c80fd635f5c1&o=
Avignon_4,Avignon,Hôtel Central,https://www.booking.com/hotel/fr/central-avignon.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,,4.805760830640793,7.9,2595,"Located in the heart of the Old Town of Avignon, Hôtel Central offers comfortable guest rooms with free WiFi internet access. A garden and a bar are available on site.

All of the guest rooms are air-conditioned and have a TV and a private bathroom with bath or shower.

A continental breakfast with fresh fruit, French pastries and hot or cold beverages is available. It can be enjoyed on the flowered terrace in the summer months.

The Central Hotel is a 10-minute walk from the Palais des Papes an",HOTEL,132,USD,"Non-smoking rooms, Facilities for disabled guests, Room service, Free Wifi, Parking",https://cf.bstatic.com/xdata/images/hotel/square60/270296236.jpg?k=69ae12a8f7ec3e2e0c59e8faead18f8813f2fe86912cd41536c2eb3174717e48&o=
Avignon_5,Avignon,Garlande Hôtel Avignon Centre,https://www.booking.com/hotel/fr/de-garlande.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,,4.806803539395332,8.8,700,"Featuring free WiFi, Garlande Hôtel Avignon Center offers accommodations set on a pedestrian street in Avignon, 1640 feet from Papal Palace and 2953 feet from Pont d'Avignon.

Each room is fitted with a flat-screen TV and a bath or shower. Certain rooms feature a seating area where you can relax.

Breakfast is available at the property for an additional charge. Evening meals can be served from Monday to Thursday if you reserve 24 hours in advance.

The property is a 10-minute walk from Avignon C",HOTEL,283,USD,"Non-smoking rooms, Airport shuttle, Facilities for disabled guests, Free Wifi, Very Good Breakfast",https://cf.bstatic.com/xdata/images/hotel/max200/545580779.jpg?k=9f817b1f05cb1d3b8176ec533a9141f155aa470fb8422321e03f23d9a397c8a4&o=
Avignon_6,Avignon,Hôtel Les Corps Saints,https://www.booking.com/hotel/fr/splendid-avignon.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=&chal_t=1762886203506&force_referer=,,4.806668758392334,7.5,1229,"Hôtel Les Corps Saints features a location facing Agricol Perdiguier Square in Avignon's historic city center, 5 minutes' walk from the train station. The rooms include free WiFi. Corps Saints Square is 262 feet from the hotel.

Only accessible by stairs, the rooms come with a TV and have a private bathroom with a shower.

For an additional fee, guests can enjoy a buffet breakfast with cheese, pastries, cold meat, jams, yogurt, boiled and hard boiled eggs. Another breakfast option called 'Bistro",HOTEL,105,USD,"Non-smoking rooms, Free Wifi, Family rooms, Very Good Breakfast, Non-smoking rooms",https://cf.bstatic.com/xdata/images/hotel/max200/87670701.jpg?k=590ecb592d758219a486e4d13ce73a017d7859cc9882dedcc11c900ff6b41e46&o=
Avignon_7,Avignon,La Saraillerie - PATIO - CLIM - WIFI,https://www.booking.com/hotel/fr/la-saraillerie-central-clim-wifi.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,,4.8072535,8.6,80,"La Saraillerie - PATIO - CLIM - WIFI is located in Avignon, just a 7-minute walk from Avignon Central Station and 3.1 miles from Avignon TGV Train Station. This apartment offers accommodations with a terrace and free Wifi. The property is 200 yards from the city center and a 6-minute walk from Papal Palace.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with an oven and a coffee machine, and 1 bathroom with an a bath or shower. A flat-screen TV is f",APARTMENT,223,USD,"Non-smoking rooms, Free Wifi, Family rooms, Non-smoking rooms, Free Wifi",https://cf.bstatic.com/xdata/images/hotel/square60/614189254.jpg?k=e838c7a1c69070ac9ed3df0b01d696e33aabceba3c90ff56ef80e5aaa0784ba8&o=
Avignon_8,Avignon,Appartements La Croix - Hyper Centre - Palais des Papes et Pont d'Avignon - WiFi,https://www.booking.com/hotel/fr/appartements-la-croix.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,,4.8045851708045575,8.1,658,"Located in Avignon, just 853 feet from the famous Pont d'Avignon, Appartements La Croix - Hyper Center - Palais des Papes et Pont d'Avignon - WiFi offers self-catering accommodations. The apartment features a dining area where guests can enjoy an evening meal after a day of exploring Avignon. Free WiFi access if provided throughout the apartment. Extra amenities include a washing machine and ironing facilities.

The apartment includes a seating area and a TV with cable channels. There is a fully",APARTMENT,186,USD,"Non-smoking rooms, Facilities for disabled guests, Fast free Wifi 177 Mbps), Parking, Family rooms",https://cf.bstatic.com/xdata/images/hotel/square60/704368219.jpg?k=221e1ed6fb7c5427b0208337a4bd99e1367cb1628e48c7340f076aa6c176024b&o=
Avignon_9,Avignon,"Duplex-Ceiling height 1,9m-Free private parking-Self check in !! Duplex climatisé-Hauteur sous plafond 1,9m-Parking privé gratuit-Arrivée autonome !!",https://www.booking.com/hotel/fr/duplex-climatise-au-centre-ville-d-avignon-avec-parking-prive-gratuit.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=&chal_t=1762886847527&force_referer=,,4.8035118,9.7,128,"A 9-minute walk from Papal Palace in Avignon, Duplex-Ceiling height 1,9m-Free private parking-Self check in!! Duplex climatisé-Hauteur sous plafond 1,9m-Parking privé gratuit-Arrivée autonome!! provides accommodations with access to a hot tub. This property offers access to a balcony, free private parking, and free Wifi. The property is a 6-minute walk from Avignon Central Station and within 500 yards of the city center.

The air-conditioned apartment consists of 1 bedroom, a living room, a full",APARTMENT,448,USD,"Free Wifi, Free parking, Free Wifi, Free parking",https://cf.bstatic.com/xdata/images/hotel/square60/606260065.jpg?k=3556d875072e73ed5b76f48a2ccc3e5bb4c2e92ad91960bf3163cb969f4c1376&o=
Avignon_10,Avignon,Appartement Les Hortensias,https://www.booking.com/hotel/fr/les-hortensias-avignon.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=&chal_t=1762886911900&force_referer=,,4.819127299999991,9.2,58,"Located a 10-minute walk from the center of Avignon and just a 15-minute walk from the historic quarter with the Pope Palace, Les Hortensias is an elegant, spacious 2-bedroom apartment of 318 feet squared. It features a furnished terrace and a large living room with high ceilings, tiled flooring and an original fireplace.

The air-conditioned, spacious accommodations includes a flat-screen TV with an iPod Docking Station, a DVD Player and free WiFi access. The bathroom is fitted with a bathtub a",APARTMENT,344,USD,"Non-smoking rooms, Airport shuttle, Free Wifi, Free parking, Family rooms",https://cf.bstatic.com/xdata/images/hotel/square60/19622971.jpg?k=4367e31106baa535e50de810e4311660b31253f17621969687c408f96d62c224&o=
