hotel_id,city,hotel_name,url,latitude,longitude,score,number_of_reviews,description,property_type,price,currency,facilities,image_url
Cassis_1,Cassis,Home Cassis - Maison Les Calanques - Piscine chauffée à 30c,https://www.booking.com/hotel/fr/home-cassis.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,,5.524701520789677,8.3,190,"Home Cassis, located 0.6 mi from the port of Cassis, is a residence of 4 apartments with a shared swimming pool. It is 5 minutes from the beach and the picturesque coastline cliffs of Cassis. Free Wi-Fi and private parking are available on site.

The properties feature modern décor and include a living room with flat-screen TV. The fully equipped kitchens include a fridge, oven, microwave and coffee machine. The bathrooms have a walk in shower, and the private terrace is furnished with a BBQ. A ",HOLIDAY_HOME,189,USD,"Outdoor swimming pool, Non-smoking rooms, Free Wifi, Free parking, Terrace",https://cf.bstatic.com/xdata/images/hotel/max200/223145729.jpg?k=b8c78b04ac9a99a6b94bc6177d5edc97dd56a39c8922fe9e0b7b56d2632c5667&o=
Cassis_2,Cassis,La Rade,https://www.booking.com/hotel/fr/la-rade-cassis1.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,,5.5347490310668945,9.0,70,"La Rade is located in Cassis, just a 9-minute walk from Grande Mer and 12 miles from Orange Velodrome Stadium. This property offers access to a balcony, free private parking, and free Wifi. La Timone Metro Station is 13 miles from the apartment and Castellane Metro Station is 14 miles away.

Featuring a terrace and sea views, the apartment includes 1 bedroom, a living room, flat-screen TV, an equipped kitchen, and 1 bathroom with a shower. Guests can enjoy a meal on an outdoor dining area while ",APARTMENT,300,USD,"Non-smoking rooms, Free Wifi, Free parking, Family rooms, Terrace",https://cf.bstatic.com/xdata/images/hotel/square60/459679418.jpg?k=06a5576c9608f9eabffccde93be10d4e7280869dd91459f15bd6763084b4d4d9&o=
Cassis_3,Cassis,Le petit cassis,https://www.booking.com/hotel/fr/le-petit-cassis-cassis1.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,,5.5399636,8.7,105,"Providing a casino, Le petit cassis provides accommodations in Cassis. Guests can benefit from a patio and a children's playground. Rond-Point du Prado Metro Station is 12 miles away and Marseille Chanot Exhibition and Convention Center is 12 miles from the apartment.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with an oven and a coffee machine, and 1 bathroom with a shower and a hair dryer. This apartment also offers a terrace that doubles up as",APARTMENT,178,USD,"Non-smoking rooms, Terrace, Non-smoking rooms, Terrace",https://cf.bstatic.com/xdata/images/hotel/square60/349958575.jpg?k=52d4f4dc42005666fd6b498d023d4bb193d6c2a64d5f22b0b66c448b006ac519&o=
Cassis_4,Cassis,Villa Prestige Cassis,https://www.booking.com/hotel/fr/villa-prestige-cassis.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=&chal_t=1762886372301&force_referer=,,5.5507099,0.0,0,"<h2>Elegant Accommodations</h2>

Villa Prestige Cassis in Cassis offers a spacious garden, terrace, and a year-round outdoor swimming pool. Guests enjoy free WiFi, ensuring connectivity throughout their stay.

<h2>Comfortable Amenities</h2>

The villa features four bedrooms and four bathrooms, a fully equipped kitchen, and a comfortable living room. Additional amenities include air-conditioning, a washing machine, and a dishwasher.

<h2>Prime Location</h2>

Located 28 mi from Marseille Provence ",VILLA,1915,USD,"Outdoor swimming pool, Non-smoking rooms, Free Wifi, Free parking, Family rooms",https://cf.bstatic.com/xdata/images/hotel/square60/774924835.jpg?k=5f2f63e5be43cd07736331f6e4a54fb35e67cfa75c30c419e4c951ce1ea15de8&o=
Cassis_5,Cassis,CASSIS RDC Climatisé - Parking gratuit,https://www.booking.com/hotel/fr/appartement-t3-rdc-cassis.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=&chal_t=1762886486220&force_referer=,,5.5361313,9.2,56,"CASSIS RDC Climatisé - Parking gratuit offers accommodations in Cassis, a 7-minute walk from Grande Mer and 12 miles from Orange Velodrome Stadium. This property offers access to a terrace, free private parking, and free Wifi. La Timone Metro Station is 13 miles from the apartment and Castellane Metro Station is 14 miles away.

The air-conditioned apartment consists of 2 bedrooms, a living room, a fully equipped kitchen with a dishwasher and a coffee machine, and 1 bathroom with a walk-in shower",APARTMENT,413,USD,"Non-smoking rooms, Basic free Wifi (10 Mbps), Free parking, Terrace, Non-smoking rooms",https://cf.bstatic.com/xdata/images/hotel/square60/584347926.jpg?k=76e0abecf25bc27fdd9f271f8d5704e736302e02c94149050863947077d8d784&o=
Cassis_6,Cassis,Le Bosquet,https://www.booking.com/hotel/fr/le-bosquet-cassis1.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,,5.53613129999997,9.3,26,"Le Bosquet is located in Cassis, just 12 miles from Rond-Point du Prado Metro Station and 12 miles from Marseille Chanot Exhibition and Convention Center. With free private parking, the property is a 7-minute walk from Grande Mer and 12 miles from Orange Velodrome Stadium. Notre Dame de la Garde Basilica is 14 miles away and Saint-Ferreol Street is 14 miles from the apartment.

Featuring a balcony and sea views, the apartment includes 2 bedrooms, a living room, flat-screen TV, an equipped kitche",APARTMENT,323,USD,"Non-smoking rooms, Free parking, Terrace, Non-smoking rooms, Free parking",https://cf.bstatic.com/xdata/images/hotel/square60/107617941.jpg?k=cc1252fb9e1cdb0915c4e22d823a2808a9199d397aec91ac6a094a4b4183ae6b&o=
Cassis_7,Cassis,charmant T2 centre cassis avec parking,https://www.booking.com/hotel/fr/charmant-t2-centre-cassis-avec-parking.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=&chal_t=1762886571338&force_referer=,,5.5411663,8.3,14,"Offering a garden, charmant T2 centre cassis avec parking provides accommodations in Cassis. The property is around a 5-minute walk from Grande Mer, 12 miles from Orange Velodrome Stadium, and 12 miles from Rond-Point du Prado Metro Station. The apartment offers both free Wifi and free private parking.

With direct access to a terrace with garden views, the air-conditioned apartment consists of 1 bedroom. The accommodation is non-smoking.

Marseille Chanot Exhibition and Convention Center is 13 ",APARTMENT,294,USD,"Non-smoking rooms, Free Wifi, Free parking, Terrace, Garden",https://cf.bstatic.com/xdata/images/hotel/square60/595225549.jpg?k=6d746820f78df7983411d1d62550c1745f3740ec62cd12cd19a757380400d6c7&o=
Cassis_8,Cassis,Au cœur de Cassis,https://www.booking.com/hotel/fr/au-coeur-de-cassis-cassis3.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,,5.5399611,8.7,18,"Au cœur de Cassis is located in Cassis, just 12 miles from Orange Velodrome Stadium and 12 miles from Rond-Point du Prado Metro Station. The air-conditioned accommodation is a 4-minute walk from Grande Mer. Marseille Chanot Exhibition and Convention Center is 12 miles from the apartment and La Timone Metro Station is 13 miles away.

With free Wifi, this 1-bedroom apartment features a flat-screen TV, a washing machine, and a fully equipped kitchen with an oven and microwave. Towels and bed linen ",APARTMENT,319,USD,"Non-smoking rooms, Free Wifi, Family rooms, Non-smoking rooms, Free Wifi",https://cf.bstatic.com/xdata/images/hotel/square60/594664063.jpg?k=97ce9396247c05025578ea7662f807a4490e020cf2940caded427d0909c1a88d&o=
Cassis_9,Cassis,Home Cassis - Maison Julou - Piscine chauffée à 32c,https://www.booking.com/hotel/fr/home-cassis-maison-julou.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,,5.537926946033,8.7,155,"Offering mountain views, Home Cassis - Maison Julou - Piscine chauffée à 32c in Cassis features accommodations, an outdoor swimming pool, a casino, and a garden. There's a private entrance at the apartment for the convenience of those who stay. The apartment offers rooms with air conditioning, free private parking, and free Wifi.

Each unit features a terrace, a fully equipped kitchen with a microwave, a dining area, and a flat-screen TV, while the private bathroom includes a shower and a hair d",APARTMENT,170,USD,"Outdoor swimming pool, Non-smoking rooms, Free Wifi, Free parking, Family rooms",https://cf.bstatic.com/xdata/images/hotel/max200/366628056.jpg?k=773e0abc4955bbd39af15a91c447239ffb97d4ef38b2c36dd04d60e74dd0a7e5&o=
Cassis_10,Cassis,Home Cassis - Maison Méditerranée - Piscine chauffée à 30c,https://www.booking.com/hotel/fr/home-cassis-maison-mediterrannee.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=&chal_t=1762887271528&force_referer=,,5.53745873272419,8.5,249,"A good location for a stress-free stay in Cassis, Home Cassis - Maison Méditerranée - Piscine chauffée à 30c is a vacation home surrounded by views of the sea. The property features an infinity pool, casino, and parking on-site among other facilities. This beachfront property offers access to a balcony, table tennis, and free Wifi. Guests can use the solarium or enjoy mountain views.

Each unit features a terrace, a fully equipped kitchen with a microwave, a dining area, and a flat-screen TV, wh",HOLIDAY_HOME,324,USD,"Outdoor swimming pool, Non-smoking rooms, Free Wifi, Beachfront, Free parking",https://cf.bstatic.com/xdata/images/hotel/max200/302027124.jpg?k=86d2290b5062fa53e7e6e60f38a5f5e7c570a2ded1410a51f3bf3abb1c4ae582&o=
