hotel_id,city,hotel_name,url,score,number_of_reviews,description,property_type,latitude,longitude,price,currency,facilities,image_url
Marseille_1,Marseille,Novotel Marseille Centre Prado Vélodrome,https://www.booking.com/hotel/fr/novotel-marseille-centre-prado.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=&chal_t=1762886130477&force_referer=,8.0,1330,"Novotel Marseille Center Prado is located in one of Marseilles’ business districts. It is 164 feet from the Périer Metro Station providing access to all areas of the city, and 0.9 mi from the Orange Velodrome Stadium.

Air-conditioned guest rooms feature a flat-screen TV with satellite channels and a mini-fridge. There are also facilities for making tea and coffee, and the bathrooms include a hairdryer and free toiletries. Free Wi-Fi access is provided.

The restaurant Novotel Café offers a menu",HOTEL,43.28068115402996,5.387088060379028,281,USD,"Non-smoking rooms, Facilities for disabled guests, Room service, Restaurant, Free Wifi",https://cf.bstatic.com/xdata/images/hotel/max200/773306381.jpg?k=aee877a6949cb335839b45de736fe99e329bd83faaae440799eecb6c83795f26&o=
Marseille_2,Marseille,RockyPop Marseille Hôtel,https://www.booking.com/hotel/fr/citadines-aparthotel-marseilleprado.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=&chal_t=1762886125651&force_referer=,9.1,277,"Located in Marseille, a 5-minute walk from Castellane Metro Station, RockyPop Marseille Hôtel provides accommodations with a terrace, private parking, a restaurant and a bar. With free WiFi, this 4-star hotel offers room service and a 24-hour front desk. The hotel features family rooms.

Each room has a safety deposit box, while selected rooms are equipped with a balcony. Guest rooms in the hotel are equipped with a flat-screen TV and a hairdryer.

RockyPop Marseille Hôtel offers a buffet or con",HOTEL,43.28282806447971,5.387259051203728,252,USD,"Non-smoking rooms, Facilities for disabled guests, Room service, Restaurant, Free Wifi",https://cf.bstatic.com/xdata/images/hotel/max200/727472890.jpg?k=db248be1c88ed723ebd211772de3a06438dfa2af408898b52126324c15ff4711&o=
Marseille_3,Marseille,Hôtel Ligo by HappyCulture,https://www.booking.com/hotel/fr/ligo-by-happyculture-marseille4.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,7.9,1175,"Attractively set in Marseille, Hôtel Ligo by HappyCulture has a buffet breakfast and free WiFi throughout the property. This 4-star hotel offers luggage storage space. The hotel has family rooms.

Complete with a private bathroom equipped with a bath, the rooms at the hotel have a flat-screen TV and air conditioning, and certain rooms contain a terrace. All guest rooms will provide guests with a closet and an electric tea pot.

Speaking English and French at the 24-hour front desk, staff are rea",HOTEL,43.301265,5.370879,186,USD,"Non-smoking rooms, Free Wifi, Family rooms, 24-hour front desk, Elevator",https://cf.bstatic.com/xdata/images/hotel/square60/651552174.jpg?k=39166721da21204ad9e37421989a1df2600e63c2c83e3fb2ef8d12f606b17685&o=
Marseille_4,Marseille,Aparthotel Adagio Access Marseille Prado Périer,https://www.booking.com/hotel/fr/citea-marseille-prado-perier.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=&chal_t=1762886238254&force_referer=,8.2,2014," Aparthotel Adagio Access Marseille Prado Périer is located in a residential district, 2461 feet from the Palais des Congrès and 0.6 mi from the Velodrome Stadium. This aparthotel offers an indoor swimming pool. Perier Metro Station is just 492 feet away and WiFi access is free.

A fully-equipped kitchen equipped with hotplates is a standard facility in the accommodations at Aparthotel Adagio Access Marseille Prado Périer. All studios and apartments have an LCD TV and some have a separate bedroo",APARTHOTEL,43.278692338557065,5.388060361146927,149,USD,"Non-smoking rooms, Facilities for disabled guests, Free Wifi, Family rooms, Elevator",https://cf.bstatic.com/xdata/images/hotel/max200/750929394.jpg?k=8123c2d0d21194414d01f6f70d2cf9e7922007030a4f4760f640ce4565871a5f&o=
Marseille_5,Marseille,B&B HOTEL Marseille Parc Chanot,https://www.booking.com/hotel/fr/ibis-budget-marseille-prado.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=&chal_t=1762886313825&force_referer=,7.0,1997,"The B&B Hotel Marseille Parc Chanot is located in Marseille. Free Wi-Fi is available throughout the property. Each room is equipped with air conditioning and satellite TV. The private bathroom is equipped with a shower. Ironing facilities are also provided.

At the B&B Hotel Marseille Parc Chanot, you will find a 24-hour front desk and a terrace. You can purchase drinks from the vending machine.

Access to our hotel is via 7 Boulevard Latil, 13008 Marseille.

Access at the Total Station level is",HOTEL,43.274565370146355,5.393511426914188,119,USD,"Non-smoking rooms, Facilities for disabled guests, Free Wifi, Private Parking, 24-hour front desk",https://cf.bstatic.com/xdata/images/hotel/square60/536156077.jpg?k=f68104711925488487adf4f20198cb5fcb240e7f4a4c1e806c7a9b9dd5b98964&o=
Marseille_6,Marseille,Les Bords De Mer,https://www.booking.com/hotel/fr/les-bords-de-mer.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,8.9,248,"Located in Marseille, 1312 feet from Palais du Pharo, Les Bords De Mer has a number of amenities including   a seasonal outdoor swimming pool. The property is close to several noted attractions, around 2953 feet from Museum of European and Mediterranean Civilizations and around a 17-minute walk from Noter-Dame de la Garde Basilica.

The rooms are equipped with a private bathroom with a shower. Most rooms have a balcony and sea view. At Les Bords De Mer every room comes with air conditioning and ",HOTEL,43.28959,5.354999,725,USD,"2 swimming pools, Non-smoking rooms, Spa, Airport shuttle, Facilities for disabled guests",https://cf.bstatic.com/xdata/images/hotel/max200/560549712.jpg?k=ad93c90cc368fd52fcab5d533bf3937303ec39535eccd05c9e914ced9c92d407&o=
Marseille_7,Marseille,ADIRA Résid'Marseille Vieux-port 2 étoiles,https://www.booking.com/hotel/fr/adira-resid-marseille-vieux-port.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,8.4,475,"ADIRA Résid'Marseille Vieux-port 2 étoiles is a recently renovated apartment in the center of Marseille, 1.2 miles from Plage des Catalans and a 4-minute walk from Vieux Port Metro Station. With free Wifi, this 2-star apartment offers an elevator and full-day security. The property is close to popular attractions like Joliette Metro Station, Museum of European and Mediterranean Civilisations, and Notre Dame de la Garde Basilica.

All units at the apartment complex come with air conditioning, a s",APARTMENT,43.294458339908,5.377619730094,291,USD,"Non-smoking rooms, Free Wifi, Parking, Family rooms, Elevator",https://cf.bstatic.com/xdata/images/hotel/square60/442969916.jpg?k=200cbe6de9aec3358bdbe42fc496dfdb82a988aa0cbd1097bf965bdc042e8a31&o=
Marseille_8,Marseille,Résidence Kley Marseille République,https://www.booking.com/hotel/fr/residence-kley-marseille-republique.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=&chal_t=1762886743416&force_referer=,7.5,314,"Résidence Kley Marseille République in Marseille offers accommodations with free Wifi, a 10-minute walk from Vieux Port Metro Station, 600 yards from Joliette Metro Station, and a 9-minute walk from Les Terrasses du Port Shopping Center. The property is around 1.5 miles from Castellane Metro Station, 1.9 miles from Palais du Pharo, and 1.9 miles from Notre Dame de la Garde Basilica. The property is 1.6 miles from Plage des Catalans and within 0.7 miles of the city center.

The condo hotel is com",APARTHOTEL,43.3010928,5.3699198,164,USD,"Non-smoking rooms, Free Wifi, Non-smoking rooms, Free Wifi",https://cf.bstatic.com/xdata/images/hotel/square60/611048444.jpg?k=94a6a2e025df18cd9c220d147ce468f2751df350b0f144694adb7a3b13d1d5ac&o=
Marseille_9,Marseille,Aparthotel Adagio Access Marseille Prado Périer,https://www.booking.com/hotel/fr/citea-marseille-prado-perier.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=&chal_t=1762886834666&force_referer=,8.2,2014," Aparthotel Adagio Access Marseille Prado Périer is located in a residential district, 2461 feet from the Palais des Congrès and 0.6 mi from the Velodrome Stadium. This aparthotel offers an indoor swimming pool. Perier Metro Station is just 492 feet away and WiFi access is free.

A fully-equipped kitchen equipped with hotplates is a standard facility in the accommodations at Aparthotel Adagio Access Marseille Prado Périer. All studios and apartments have an LCD TV and some have a separate bedroo",APARTHOTEL,43.278692338557065,5.388060361146927,149,USD,"Non-smoking rooms, Facilities for disabled guests, Free Wifi, Family rooms, Elevator",https://cf.bstatic.com/xdata/images/hotel/max200/750929394.jpg?k=8123c2d0d21194414d01f6f70d2cf9e7922007030a4f4760f640ce4565871a5f&o=
Marseille_10,Marseille,Maison Galante au Vieux Port,https://www.booking.com/hotel/fr/maison-galante-au-vieux-port.html?checkin=2025-12-11&checkout=2025-12-13&group_adults=2&no_rooms=1&group_children=,8.8,83,"Maison Galante au Vieux Port features rooms with free Wifi in the center of Marseille. This recently renovated condo hotel is located a 17-minute walk from Plage des Catalans and 300 yards from Vieux Port Metro Station. Guests can access the condo hotel via private entrance.

The units at the condo hotel come with air conditioning, a seating area, a flat-screen TV with satellite channels, a kitchen, a dining area, a safety deposit box, and a private bathroom with a walk-in shower, slippers, and ",APARTHOTEL,43.293512,5.372234,373,USD,"Non-smoking rooms, Beachfront, Free Wifi, Parking, Terrace",https://cf.bstatic.com/xdata/images/hotel/square60/637569540.jpg?k=0a79ae38acf9e9cbf18faceae68edfba6ed5b026142f7987c708f8ed7f2f85bc&o=
